"","UniProt_Name","as_g0_a","as_g0_b","as_g0_c","as_g1_a","as_g1_b","as_g1_c","wt_g0_a","wt_g0_b","wt_g0_c","A_G0_mean","A_G1_mean","WT_G0_mean","A_G0_sd","A_G1_sd","WT_G0_sd","ANOVA_p","ANOVA_padj","hclust_clusters","Z_scores_as_g0_a","Z_scores_as_g0_b","Z_scores_as_g0_c","Z_scores_as_g1_a","Z_scores_as_g1_b","Z_scores_as_g1_c","Z_scores_wt_g0_a","Z_scores_wt_g0_b","Z_scores_wt_g0_c","A_G1_vs_A_G0_Ttest_p","A_G1_vs_A_G0_Ttest_padj","log(A_G1/A_G0)","WT_G0_vs_A_G0_Ttest_p","WT_G0_vs_A_G0_Ttest_padj","log(WT_G0/A_G0)","WT_G0_vs_A_G1_Ttest_p","WT_G0_vs_A_G1_Ttest_padj","log(WT_G0/A_G1)","missing_data_as_g0_a","missing_data_as_g0_b","missing_data_as_g0_c","missing_data_as_g1_a","missing_data_as_g1_b","missing_data_as_g1_c","missing_data_wt_g0_a","missing_data_wt_g0_b","missing_data_wt_g0_c","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1","A0A075B5P6;A0A075B6A0;P01872",-1.07961392268173,1.77501421637967,0.972485385123669,-3.15583185898423,-0.356516831560448,-0.527498491509444,-7.78153206908904,-4.04630585289416,-4.06655177766063,0.555961892940536,-1.34661572735137,-5.29812989988127,1.47219031301514,1.56915771681184,2.1507131898249,0.0169814234454374,0.10498357278145,1,0.316627256780372,1.26807092212913,1.00058915723301,-0.375373349655179,0.557634531025789,0.500646576965063,-1.9171129207342,-0.672167117316272,-0.678915056427711,0.200675202444555,0.5090445640364,-1.90257762029191,0.0222823850583303,0.243296498784104,-5.85409179282181,0.0676024574362443,0.287384814461834,-3.9515141725299,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"A0A075B5P6;A0A075B6A0;P01872","A0A075B5P6;A0A075B6A0;P01872","5;5;5","5;5;5","5;5;5","Immunoglobulin heavy constant mu (Fragment) OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=1;Immunoglobulin heavy constant mu (Fragment) OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2;Immunoglobulin heavy constant mu OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2",3,5,5,5
"2","A0A075B6A3;A0A0A6YXW6;P01878",-1.61871641983885,1.99596911211907,-3.64676800609391,-4.90773918748474,0.616133705942136,-6.41194400273993,-4.07023600678692,-4.52676735456231,-5.86693488841756,-1.0898384379379,-3.56784982809418,-4.82131274992226,2.85830447750399,3.70066841143252,0.933862655993384,0.311124642045512,0.479867721353439,NA,0.53203679268129,1.78006233944224,-0.168179081540112,-0.603548696460023,1.30365303024811,-1.12289844912923,-0.314387895122409,-0.472012335722716,-0.934725704397148,0.413692528123976,0.648580632649177,-2.47801139015628,0.142025829871205,0.48723693788351,-3.73147431198437,0.621075550056463,0.790961224494642,-1.25346292182809,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"A0A075B6A3;A0A0A6YXW6;P01878","A0A075B6A3;A0A0A6YXW6","3;3;1","3;3;1","3;3;1","Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1;Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1",3,3,3,3
"3","A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49",2.00594293893654,0.00604029372692239,1.38902721764953,0.891213812992707,-3.26944555659996,-1.76986737024963,0,1.86706978273017,1.9263827804748,1.13367015010433,-1.38269970461896,1.26448418773499,1.02411330991159,2.10717718724061,1.09547692978868,0.125299493527247,0.302830573682144,NA,0.91213716498442,-0.181854684944009,0.574670352388667,0.302355193056195,-1.97361931578578,-1.15331622846937,-0.185158861836947,0.836170416589183,0.868615964017643,0.163109642318156,0.49934669047343,-2.51636985472329,0.887250621544525,0.9506462776407,0.130814037630658,0.148847633607501,0.408508415765481,2.64718389235395,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49","A0A087WNP6;Q4VAA2","7;7;3;1;1","7;7;3;1;1","7;7;3;1;1","Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1;Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2",5,7,7,7
"4","A0A087WNZ7;G5E870;A0A087WRV6",-6.6958749626919,-5.27420438406457,-4.27911375187242,-4.2193497674568,-6.18325610981941,-5.71468991606631,-5.6936744323716,-5.97317091721639,-6.2804505268979,-5.41639769954296,-5.37243193111418,-5.98243195882863,1.21463899647404,1.02571313074887,0.293497651516486,0.687832414644619,0.770186113430805,NA,-1.28489320318249,0.367544752954091,1.52415976289397,1.59362471331424,-0.689065405764357,-0.144440951154294,-0.120014207402425,-0.444878917348247,-0.80203654431049,0.964153352611637,0.982888086003617,0.0439657684287864,0.507343694628075,0.747303734497437,-0.56603425928567,0.413626301926558,0.633245676472617,-0.610000027714457,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"A0A087WNZ7;G5E870;A0A087WRV6","A0A087WNZ7;G5E870","3;3;1","3;3;1","3;3;1","E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1;E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1",3,3,3,3
"5","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7",-1.20633107764053,-1.1755914334343,-2.25362268049656,0.313393381515571,-1.57215350482769,0.472030450027219,0.245878624557736,0.61322817768578,2.06061170365446,-1.5451817305238,-0.2622432244283,0.973239501965991,0.613720348473318,1.13718518144518,0.959437414477598,0.0438144089313289,0.179172611428305,2,-0.684898918481317,-0.66221848514257,-1.45761532422254,0.436389573275622,-0.954811319482829,0.553435737938223,0.386575595784844,0.657614746265622,1.72552839406495,0.181789540349084,0.508600662819011,1.2829385060955,0.0250513911227802,0.25872924708239,2.51842123248979,0.225678860225718,0.489420105077083,1.23548272639429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7","5;5;5;5;5;3","5;5;5;5;5;3","5;5;5;5;5;3","Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus mus",6,5,5,5
"6","A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92",-1.13139076290787,-3.32478121152871,-2.00012435775498,-2.80939514616458,-6.47462104246973,-3.39566501020852,-2.98981338779243,-1.95112559022777,-2.28304164730141,-2.15209877739719,-4.22656039961427,-2.40799354177387,1.10456443143643,1.96882212981221,0.53049770701825,0.198703597828098,0.380412431764254,NA,1.18421692301791,-0.260823140676628,0.611881591649621,0.0787212907260653,-2.3359870736611,-0.307522500119715,-0.0401410794176041,0.644162748975253,0.425491239506199,0.205530830243277,0.509672846551687,-2.07446162221709,0.742499920789436,0.877139433265748,-0.255894764376682,0.246908420768876,0.508382877235847,1.81856685784041,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92","A0A087WP83;Q8VDJ3","5;5;1;1;1;1","5;5;1;1;1;1","5;5;1;1;1;1","Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1;Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1",6,5,5,5
"7","A0A087WPL1;F7C957;Q8R1G6",-6.31749275108047,-5.53628969087746,-3.60330264222015,0.0663197361399774,0.116843715450255,-0.142883076361922,-4.82854564902773,-1.08126219932707,-2.64226757548373,-5.15236169472603,0.01342679174277,-2.85069180794618,1.39723209111101,0.137705298632682,1.88231607563881,0.00998574011766885,0.0839036210668191,1,-1.44427240597078,-1.13551970081287,-0.371550624510146,1.07878398622764,1.09875243755877,0.996101342524453,-0.855799998455694,0.625228380757116,0.008276582681509,0.0226398187935457,0.441309590504976,5.1657884864688,0.170199890826231,0.521082082833856,2.30166988677985,0.118082724985092,0.363118719963929,-2.86411859968895,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"A0A087WPL1;F7C957;Q8R1G6","A0A087WPL1;F7C957;Q8R1G6","2;2;2","2;2;2","2;2;2","PDZ and LIM domain protein 2 OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1;PDZ and LIM domain protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1;PDZ and LIM domain protein 2 OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1",3,2,2,2
"8","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4",0.527132448342073,-0.467242840360438,0.196135672242274,-0.63826708421297,-3.83828884077026,-5.49429957720624,-3.93470878970726,0.742404733115944,-0.184279457036638,0.0853417600746364,-3.32361850072982,-1.12552783787598,0.50636155257445,2.46858807062653,2.47655185937392,0.197316780883118,0.37997170606946,NA,0.855917883956572,0.42644369422761,0.712959210472392,0.352577720900362,-1.02952294735513,-1.74475981747217,-1.07116706292588,0.948894742014858,0.548656576181389,0.134049302979992,0.481216072604417,-3.40896026080446,0.488104340072008,0.741463584389046,-1.21086959795062,0.337454323124928,0.57026017748486,2.19809066285384,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4","4;4;4;3","4;4;4;3","4;4;4;3","Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1",4,4,4,4
"9","A0A087WQT6;O89110",-1.16192465539244,-2.2714896867393,-1.82880900201448,-8.08518165594742,-3.40067330412543,-2.60146541433645,-6.52470473316671,-1.54861315743742,-5.56429464383003,-1.75407444804874,-4.69577345813643,-4.54587084481139,0.558545056252653,2.96238911375877,2.63974660115638,0.288782142026584,0.462180347841653,NA,1.01583244006874,0.565576605104509,0.74521417090033,-1.79358996726233,0.107359647909149,0.43167413652469,-1.16035638476904,0.858916216647403,-0.770626865123449,0.224746372918169,0.513879304530203,-2.94169901008769,0.204535448112824,0.557611849037622,-2.79179639676265,0.951006592102608,0.975338691730852,0.149902613325048,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A0A087WQT6;O89110","A0A087WQT6;O89110","3;3","3;3","3;3","Caspase-8 OS=Mus musculus OX=10090 GN=Casp8 PE=1 SV=1;Caspase-8 OS=Mus musculus OX=10090 GN=Casp8 PE=1 SV=1",2,3,3,3
"10","A0A087WR97;Q921F2;A0A087WSE4;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4",3.22157053603286,0.648698904343018,2.39163628460802,1.03500540046707,0.432320090312601,0.56338184139388,0.57716119431441,2.39510828288531,2.59539518806427,2.08730190832797,0.676902444057851,1.85588822175466,1.31315713748505,0.316974117540992,1.11192887323164,0.263059346766689,0.440274288929674,NA,1.5386176477783,-0.815573424731747,0.77922344349325,-0.462100949375264,-1.01356117740332,-0.89363898597225,-0.881030805590872,0.78240034017457,0.965663911627334,0.198962406881449,0.5090445640364,-1.41039946427012,0.827535754373791,0.92134027311492,-0.231413686573301,0.201611283043256,0.463784666282771,1.17898577769681,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A0A087WR97;Q921F2;A0A087WSE4;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4","A0A087WR97;Q921F2;A0A087WSE4;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4","5;5;3;3;3;3;3;3","5;5;3;3;3;3;3;3","5;5;3;3;3;3;3;3","TAR DNA-binding protein 43 (Fragment) OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1;TAR DNA-binding protein 43 OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1;TAR DNA-binding protein 43 (Fragment) OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1;TAR DNA-binding pr",8,5,5,5
